"sample_id","T cells","CD8 T cells","Cytotoxic lymphocytes","B lineage","NK cells","Monocytic lineage","Myeloid dendritic cells","Neutrophils","Endothelial cells","Fibroblasts","ssGSEA_ALLOGRAFT_REJECTION","ssGSEA_COMPLEMENT","ssGSEA_IL6_JAK_STAT3_SIGNALING","ssGSEA_IL2_STAT5_SIGNALING","ssGSEA_INFLAMMATORY_RESPONSE","ssGSEA_INTERFERON_ALPHA_RESPONSE","ssGSEA_INTERFERON_GAMMA_RESPONSE","ssGSEA_TNFA_SIGNALING_VIA_NFKB","ssGSEA_TGF_BETA_SIGNALING","risk_score","rewiring_magnitude","group"
"TCGA-05-4245",0.996221878879696,0.253989266230787,0.680817205634288,2.61207920157395,0.179931250489891,2.43135688144912,0.842859535709867,1.20706344814357,2.33141796395959,5.26190784891344,1.86431463041629,2.01147922441188,1.97492037130268,2.02409578724695,1.81950161035831,2.23055949854198,2.14239716430969,2.1506359282263,2.33002943846414,-2.4099011,383.7511,"High"
"TCGA-05-4249",2.26436648514007,1.19345636574959,1.15306739238531,4.40679329466504,0.399457007597393,4.41620091304367,5.06268895299235,2.95372919371478,3.42966336530711,6.25892130262752,2.11172702440393,2.12875525636879,2.19754821294294,2.20513537815208,2.07880460955175,2.43234421489112,2.33877770002155,2.34409341559339,2.46039968764559,0.05630721,453.4124,"High"
"TCGA-05-4250",2.54564360920632,2.63981097771678,2.2159883574763,2.7899674537794,0.569744010783441,4.20159016654829,2.11272362603404,2.3468843366211,3.07400472388374,7.7339068821541,2.19854485825229,2.20219958745159,2.23796443832265,2.24739876049378,2.16304140490917,2.47458715304998,2.39267588947977,2.49494199597978,2.48877087600448,0.067451924,216.60268,"Low"
"TCGA-05-4382",2.38804445615169,0.926682638615192,1.16004414136473,4.19980147028151,0.476623868402855,4.73628714756113,2.11522586719806,2.19244616795819,3.17198465993535,7.67130048586212,2.15988336088706,2.18331594837598,2.25974061982942,2.19337916549236,2.15258012503595,2.4216532654079,2.36459772033931,2.42535875802728,2.45314568844673,0.038527325,1281.4536,"High"
"TCGA-05-4384",1.97076367251724,0.856228798219045,1.62190603346974,2.81584674119842,0.340603514667851,4.66531981703976,2.9895943629286,3.85104487243341,4.33092843316401,5.76828422056064,2.01903574967996,2.15076911491911,2.12901489636351,2.17838969836889,2.04776390871132,2.3548232802142,2.25799134489657,2.35303094356029,2.48238833394032,0.052183107,1864.2556,"High"
"TCGA-05-4389",2.97267642936911,3.12533700691146,2.24389135033491,3.32780411901459,0.59296860780222,4.55646474368516,4.53098665980397,2.70871614634262,2.55052821455108,5.4237384856536,2.21520600308617,2.20194353333004,2.23601958805072,2.22877109497107,2.10356751310336,2.44701893148096,2.37567224851385,2.29704594346406,2.37198375705099,0.0887667,197.78731,"Low"
"TCGA-05-4390",1.82572724953205,1.76587416408973,0.614389163039166,3.72835808401353,0.4340504024709,3.40320354840225,1.23498247436593,2.74992390349716,2.92807363574248,6.87180913986113,2.02575833972977,2.11120199831161,2.15050730143668,2.13830512970201,2.05647931599731,2.27783303209182,2.19982107331249,2.31245716242515,2.42665575291188,0.07360826,270.22595,"High"
"TCGA-05-4396",1.85668693294373,0.468843942974637,1.14755378875593,2.88650513903622,0.454643813604606,3.63098895355639,2.04683214813861,2.94313167043873,3.60068027504581,5.6451455432273,1.97950786630266,2.10344576064516,2.10581703235235,2.12840634303977,1.94627665766668,2.3939130117503,2.25215149069772,2.29219001649046,2.47647374061147,0.07903715,311.87146,"High"
"TCGA-05-4397",1.68569199957222,1.0441142968214,1.11647960480686,2.94108488864006,0.508887683393405,4.1000106510055,3.06084742347345,2.07424203091484,2.54038257902181,5.27456569022077,1.99959670538976,2.1033057967533,2.18260788881753,2.07508626319565,1.97775657088882,2.5311140135325,2.35995139945386,2.23519793967587,2.30608583927911,0.48412338,211.22841,"Low"
"TCGA-05-4398",2.47271636696004,1.26177149506894,1.47505762072936,3.99634628586825,0.410379976051719,4.66350123144927,3.67947091001364,2.3108571221399,2.87048768252986,6.8340691886318,2.19631711549218,2.14757188451372,2.2928531856779,2.21482565301856,2.17871555252328,2.50973526385056,2.43470292010958,2.47188508905503,2.43739811080046,0.05194234,777.1193,"High"
